,c_measure,mds_score,minimal_wiring,minimal_path_length,demartines_herault,sammon_mapping
LG_Mean,55100.304179292114,-3391960.7209887556,0.07396792095973781,5.335927529962155e-05,-1532.715031293831,
LG_Sum,50820.76677821457,-1067152.0369133842,0.05505376105233072,5.280391438208991e-05,-21.0191271794739,
Fct_Mean,51956.942901524,-971181.5387498479,0.06727592280059026,4.8777547729985795e-05,-21.064869119604996,
Fct_Sum,49985.78448907052,-885142.1220223721,0.0560457141861008,4.968496780059549e-05,-4.740323070576364,
Fct_Max_Sum,51644.849501827564,-1744587.2548785629,0.05277644434543401,0.00012725698738867095,-206.1340371770947,
Fct_Max_Mean,397902.9170745514,-4144428035.3259315,0.4114385160351159,0.05511494471022569,,
Fct_BPE_Sum,47876.61449708364,-920782.0303212473,0.059127901314501886,0.011396799400487892,-5.082312325200557,
Fct_BPE_Mean,67516.79884224804,-6451529.1838416625,0.10181457545625756,0.011364459544200912,-905.3608178154778,
Fct_Markov_BPE,47089.32394603793,-822585.8502317698,0.060538769411991274,0.011386435969080375,-2.4227972569551635,
Fct_Markov_Base,52062.17729270703,-2100460.498553832,0.05422207253649327,0.00012733632466260407,-403.8309295821363,
Reg_Discret_Sum,51644.03825293293,-1403261.7313204473,0.05845052256836324,5.230309784038732e-05,-21.524711441240008,
Reg_Discret_Mean,53089.35201710278,-958015.5026856326,0.07180417375326706,5.3250186547963525e-05,-8.303092530751181,
Reg_Euclidean_Sum,58393.630919446776,-3592750.7413801285,0.05974743453999315,5.505510952994126e-05,-669.6832801426085,
Reg_Euclidean_Mean,60365.17062880473,-3761420.8255006066,0.08452195856678639,5.234276647735386e-05,-624.0232506217917,
Reg_Cosine_Sum,51174.93587097152,-1417348.59263207,0.04998358817410553,5.943849391474428e-05,-37.20323304074233,
Reg_Cosine_Mean,52433.44910252563,-727235.240686021,0.06719855205535277,5.0319665992060176e-05,-0.8322765181176306,
Reg_BPE_Sum,53040.483949003494,-1347788.205236304,0.06280508648967437,5.65823520531532e-05,-19.125616453451226,
Reg_BPE_Mean,53800.012492024456,-1271225.9464465824,0.07596807064701516,6.147151155927963e-05,-188.4999988923295,
Reg_Markov_BPE,54923.31099254088,-1210735.6450749321,0.06562425620198341,6.998539276822406e-05,-60.529068403720395,
Reg_Markov_Base,56330.225436144654,-1463697.534281074,0.066839722125801,7.038207913788947e-05,-81.59542547418096,
