,c_measure,mds_score,minimal_wiring,minimal_path_length,demartines_herault,sammon_mapping
LG_Mean,1904410.790352688,-4342239.068683467,93022.88244237435,3987.7111128482197,-1396.555207679062,
LG_Sum,1714934.7599995285,-2387823.370512264,74673.15571954513,3972.3512241981307,-10.478973615743554,
Fct_Mean,1785877.2769453796,-2152240.19070364,88495.21613713526,3691.6727454203983,-9.921900853380803,
Fct_Sum,1693855.5210525668,-2246301.9689368857,75518.710100621,3739.623068109163,-2.3901130111363167,
Fct_Max_Sum,1753061.7730726062,-2990652.7277785107,70361.0865753565,9450.416754017133,-158.2849128702314,
Fct_Max_Mean,13373601.03403217,-4123125538.412057,485478.12742533773,4063511.56253714,,
Fct_BPE_Sum,1628283.7933080636,-2408866.9927407894,85133.41680866336,855208.9179796376,-2.3867953696819373,
Fct_BPE_Mean,2320343.8699953747,-6594774.3615769185,137642.54712861867,853397.452417017,-796.7641257490502,
Fct_Markov_BPE,1607808.1481372095,-2350047.521890933,87037.65357163058,854885.0723384307,-1.7665921323023959,
Fct_Markov_Base,1771902.4378063376,-3309679.297568074,71507.98103180397,9460.343171369306,-335.6124455523029,
Reg_Discret_Sum,1759475.474025613,-2636498.179816592,78048.61292315972,3958.1997203503142,-9.582479618712823,
Reg_Discret_Mean,1825169.818099564,-2062753.8905622156,97969.29696530929,3984.8395931434475,-4.608158811122389,
Reg_Euclidean_Sum,1955563.963228871,-4447309.396802789,80012.1493755077,4143.470603184319,-561.7292188088076,
Reg_Euclidean_Mean,2083533.7462844986,-4363982.994230721,101728.3920194884,3946.129789633031,-538.5609897661054,
Reg_Cosine_Sum,1726144.8511716453,-2716308.0820722277,68676.30697022245,4440.426472723494,-18.259064495348024,
Reg_Cosine_Mean,1804386.2200957525,-1872229.01874107,90594.15527746113,3814.806746106059,-1.6082607280415107,
Reg_BPE_Sum,1810338.4869671033,-2482091.519241605,84220.63612707936,4233.541628293393,-8.68572350991946,
Reg_BPE_Mean,1848636.5393603563,-2330452.2127514197,110360.16388795248,4560.259585386029,-140.9447562655297,
Reg_Markov_BPE,1868073.2070032281,-2233335.1730950633,90426.78318488995,5086.529015632771,-38.19696116491309,
Reg_Markov_Base,1913056.6971344734,-2399143.9109259252,92661.40794259812,5049.888566771861,-52.51055838315589,
